# OpenSignals Text File Format. Version 1
# {"EC:1B:BD:62:D1:5E": {"position": 0, "device": "bitalino_rev", "device name": "EC:1B:BD:62:D1:5E", "device connection": "BTHEC:1B:BD:62:D1:5E", "sampling rate": 100, "resolution": [4, 1, 1, 1, 1, 10, 10], "firmware version": 1282, "comments": "", "keywords": "", "mode": 0, "sync interval": 2, "date": "2023-12-15", "time": "15:30:38.836", "channels": [1, 2], "sensor": ["EGGBIT", "EEGBITREV"], "label": ["A1", "A2"], "column": ["nSeq", "I1", "I2", "O1", "O2", "A1", "A2"], "special": [{}, {}], "digital IO": [0, 0, 1, 1]}}
# EndOfHeader
0	0	0	0	0	427	465	
1	0	0	0	0	427	435	
2	0	0	0	0	427	456	
3	0	0	0	0	427	318	
4	0	0	0	0	427	493	
5	0	0	0	0	427	399	
6	0	0	0	0	428	397	
7	0	0	0	0	428	536	
8	0	0	0	0	428	569	
9	0	0	0	0	428	550	
10	0	0	0	0	428	639	
11	0	0	0	0	429	512	
12	0	0	0	0	429	517	
13	0	0	0	0	428	580	
14	0	0	0	0	429	568	
15	0	0	0	0	430	489	
0	0	0	0	0	430	500	
1	0	0	0	0	430	590	
2	0	0	0	0	430	512	
3	0	0	0	0	430	569	
4	0	0	0	0	430	540	
5	0	0	0	0	430	499	
6	0	0	0	0	430	504	
7	0	0	0	0	430	593	
8	0	0	0	0	430	449	
9	0	0	0	0	430	371	
10	0	0	0	0	430	470	
11	0	0	0	0	430	523	
12	0	0	0	0	430	567	
13	0	0	0	0	430	508	
14	0	0	0	0	430	499	
15	0	0	0	0	430	460	
0	0	0	0	0	430	480	
1	0	0	0	0	430	487	
2	0	0	0	0	430	433	
3	0	0	0	0	430	521	
4	0	0	0	0	431	725	
5	0	0	0	0	431	820	
6	0	0	0	0	431	875	
7	0	0	0	0	431	932	
8	0	0	0	0	431	830	
9	0	0	0	0	431	713	
10	0	0	0	0	431	652	
11	0	0	0	0	431	721	
12	0	0	0	0	431	542	
13	0	0	0	0	431	535	
14	0	0	0	0	431	589	
15	0	0	0	0	431	611	
0	0	0	0	0	431	605	
1	0	0	0	0	431	551	
2	0	0	0	0	431	531	
3	0	0	0	0	431	524	
4	0	0	0	0	431	551	
5	0	0	0	0	431	465	
6	0	0	0	0	431	440	
7	0	0	0	0	431	536	
8	0	0	0	0	431	491	
9	0	0	0	0	432	510	
10	0	0	0	0	432	471	
11	0	0	0	0	432	374	
12	0	0	0	0	432	419	
13	0	0	0	0	432	419	
14	0	0	0	0	432	437	
15	0	0	0	0	433	409	
0	0	0	0	0	433	315	
1	0	0	0	0	433	377	
2	0	0	0	0	433	395	
3	0	0	0	0	434	354	
4	0	0	0	0	434	413	
